Epoch	LR	Train Loss	Val Loss	Train Acc	Val Acc	
1.000000	0.001000	0.001369	0.000828	0.070879	0.138562	
2.000000	0.001000	0.000856	0.001058	0.158208	0.200655	
3.000000	0.001000	0.000758	0.000854	0.213208	0.208725	
4.000000	0.001000	0.000699	0.000596	0.281929	0.384714	
5.000000	0.001000	0.000635	0.000575	0.337208	0.440630	
6.000000	0.001000	0.000582	0.000541	0.421062	0.487058	
7.000000	0.001000	0.000559	0.000521	0.467490	0.538204	
8.000000	0.001000	0.000536	0.000495	0.514954	0.582253	
9.000000	0.001000	0.000520	0.000483	0.549438	0.609111	
10.000000	0.001000	0.000506	0.000469	0.574788	0.634015	
11.000000	0.001000	0.000497	0.000475	0.595450	0.629678	
12.000000	0.001000	0.000488	0.000458	0.610554	0.655569	
13.000000	0.001000	0.000481	0.000464	0.621428	0.642120	
14.000000	0.001000	0.000475	0.000444	0.634942	0.674910	
15.000000	0.001000	0.000470	0.000445	0.643844	0.672073	
16.000000	0.001000	0.000465	0.000457	0.649695	0.644244	
17.000000	0.001000	0.000461	0.000434	0.657655	0.692058	
18.000000	0.001000	0.000455	0.000432	0.669486	0.699718	
19.000000	0.001000	0.000451	0.000431	0.675828	0.704502	
20.000000	0.001000	0.000450	0.000427	0.676318	0.705441	
21.000000	0.001000	0.000447	0.000423	0.685184	0.715312	
22.000000	0.001000	0.000444	0.000439	0.687975	0.685048	
23.000000	0.001000	0.000440	0.000420	0.694823	0.718964	
24.000000	0.001000	0.000439	0.000423	0.697721	0.718909	
25.000000	0.001000	0.000435	0.000417	0.704000	0.727210	
26.000000	0.001000	0.000433	0.000420	0.706374	0.718607	
27.000000	0.001000	0.000432	0.000414	0.706610	0.727208	
28.000000	0.001000	0.000429	0.000415	0.713337	0.726208	
29.000000	0.001000	0.000426	0.000414	0.718950	0.731994	
30.000000	0.001000	0.000425	0.000417	0.722412	0.722308	
31.000000	0.001000	0.000423	0.000407	0.725020	0.741635	
32.000000	0.001000	0.000420	0.000405	0.725497	0.743852	
33.000000	0.001000	0.000419	0.000404	0.727675	0.746063	
34.000000	0.001000	0.000419	0.000404	0.729866	0.745534	
35.000000	0.001000	0.000415	0.000402	0.736349	0.751218	
36.000000	0.001000	0.000416	0.000404	0.735083	0.745928	
37.000000	0.001000	0.000414	0.000401	0.738208	0.749746	
38.000000	0.001000	0.000412	0.000399	0.740598	0.754784	
39.000000	0.001000	0.000411	0.000400	0.743709	0.754464	
40.000000	0.001000	0.000409	0.000404	0.746386	0.745199	
41.000000	0.001000	0.000408	0.000397	0.745919	0.760514	
42.000000	0.001000	0.000408	0.000396	0.747215	0.757289	
43.000000	0.001000	0.000406	0.000396	0.751661	0.758895	
44.000000	0.001000	0.000404	0.000399	0.753615	0.757813	
45.000000	0.001000	0.000405	0.000394	0.751905	0.765260	
46.000000	0.001000	0.000402	0.000398	0.755488	0.759071	
47.000000	0.001000	0.000403	0.000399	0.757242	0.753726	
48.000000	0.001000	0.000400	0.000399	0.760018	0.754970	
49.000000	0.001000	0.000401	0.000394	0.759857	0.762520	
50.000000	0.001000	0.000401	0.000395	0.760169	0.756810	
51.000000	0.001000	0.000399	0.000394	0.761641	0.765813	
52.000000	0.001000	0.000398	0.000392	0.762198	0.768706	
53.000000	0.001000	0.000395	0.000391	0.766152	0.769958	
54.000000	0.001000	0.000395	0.000389	0.765638	0.772859	
55.000000	0.001000	0.000395	0.000391	0.768336	0.770551	
56.000000	0.001000	0.000394	0.000388	0.769266	0.773284	
57.000000	0.001000	0.000394	0.000394	0.769093	0.764413	
58.000000	0.001000	0.000394	0.000386	0.770609	0.778546	
59.000000	0.001000	0.000391	0.000387	0.774007	0.780828	
60.000000	0.001000	0.000391	0.000390	0.772656	0.772801	
61.000000	0.001000	0.000390	0.000388	0.774434	0.775734	
62.000000	0.001000	0.000389	0.000388	0.775448	0.776741	
63.000000	0.001000	0.000389	0.000391	0.775852	0.771075	
64.000000	0.001000	0.000387	0.000390	0.781405	0.774030	
65.000000	0.001000	0.000388	0.000384	0.778877	0.780955	
66.000000	0.001000	0.000386	0.000387	0.780021	0.779040	
67.000000	0.001000	0.000387	0.000389	0.780239	0.771438	
